date,nombre,variacion
2025-10-31,Borja Mayoral,0.131
2025-10-31,Odysseas Vlachodimos,0.131
2025-10-31,Juan Foyth,0.13
2025-10-31,Koke,0.13
2025-10-31,Marcos Alonso,0.124
2025-10-31,Jon Moncayola,0.123
2025-10-31,Jon Gorrotxategi,0.123
2025-10-31,Edu Expósito,0.121
2025-10-31,Éder Militão,0.12
2025-10-31,Pablo Maffeo,0.12
2025-10-31,Aleix Febas,0.118
2025-10-31,Eduardo Camavinga,0.118
2025-10-31,Clemens Riedel,0.118
2025-10-31,Fermín López,0.116
2025-10-31,Aurélien Tchouaméni,0.112
2025-10-31,Marc Bartra,0.111
2025-10-31,Giuliano Simeone,0.11
2025-10-31,Ionuț Radu,0.11
2025-10-31,Marcus Rashford,0.109
2025-10-31,Jorge de Frutos,0.109
2025-10-31,Ronald Araújo,0.109
2025-10-31,Florian Lejeune,0.108
2025-10-31,Azzedine Ounahi,0.106
2025-10-31,Wojciech Szczęsny,0.106
2025-10-31,Luis Milla,0.105
2025-10-31,Pep Chavarría,0.099
2025-10-31,Iñaki Peña,0.099
2025-10-31,Victor Muñoz,0.098
2025-10-31,Adrián Liso,0.098
2025-10-31,Marcos Llorente,0.097
2025-10-31,Cucho Hernández,0.096
2025-10-31,Mikel Oyarzabal,0.096
2025-10-31,Nahuel Tenaglia,0.096
2025-10-31,Leo Román,0.096
2025-10-31,Sofyan Amrabat,0.096
2025-10-31,Carlos Romero,0.093
2025-10-31,Lucas Boyé,0.092
2025-10-31,Johan Mojica,0.089
2025-10-31,Abel Bretones,0.089
2025-10-31,Dávid Hancko,0.087
2025-10-31,Jan Oblak,0.086
2025-10-31,Conor Gallagher,0.084
2025-10-31,Mateo Joseph,0.084
2025-10-31,Antonio Raíllo,0.083
2025-10-31,Santi Comesaña,0.083
2025-10-31,Rodrigo Mendoza,0.083
2025-10-31,Viktor Tsygankov,0.083
2025-10-31,Dakonam Djené,0.083
2025-10-31,Oihan Sancet,0.082
2025-10-31,Axel Witsel,0.082
2025-10-31,Leandro Cabrera,0.081
2025-10-31,Santiago Mouriño,0.081
2025-10-31,Dani Parejo,0.081
2025-10-31,Roony Bardghji,0.081
2025-10-31,Rubén García,0.081
2025-10-31,Jude Bellingham,0.079
2025-10-31,Andrei Rațiu,0.079
2025-10-31,Yuri Berchiche,0.079
2025-10-31,Trent Alexander-Arnold,0.078
2025-10-31,Arda Güler,0.077
2025-10-31,Daniel Vivian,0.077
2025-10-31,Óscar Mingueza,0.076
2025-10-31,Toni Martínez,0.076
2025-10-31,Victor Chust,0.074
2025-10-31,Mauro Arambarri,0.073
2025-10-31,Vitor Reis,0.073
2025-10-31,Nobel Mendy,0.072
2025-10-31,Álvaro García,0.07
2025-10-31,Renato Veiga,0.07
2025-10-31,Ferran Torres,0.069
2025-10-31,Carlos Álvarez,0.069
2025-10-31,Ferran Jutglà,0.069
2025-10-31,Jan Virgili,0.068
2025-10-31,José Giménez,0.068
2025-10-31,Óscar Valentín,0.067
2025-10-31,Jon Martin,0.067
2025-10-31,Vedat Muriqi,0.065
2025-10-31,Roberto Fernández,0.065
2025-10-31,Pablo Fornals,0.064
2025-10-31,Haissem Hassan,0.064
2025-10-31,Dean Huijsen,0.063
2025-10-31,Johnny Cardoso,0.061
2025-10-31,Iván Martín,0.06
2025-10-31,Paulo Gazzaniga,0.059
2025-10-31,Salomón Rondón,0.059
2025-10-31,David Carmo,0.059
2025-10-31,Ander Barrenetxea,0.057
2025-10-31,Brais Méndez,0.056
2025-10-31,Ricardo Rodríguez,0.056
2025-10-31,Domingos Duarte,0.056
2025-10-31,Goduine Koyalipou,0.056
2025-10-31,Arnau Martínez,0.055
2025-10-31,Ante Budimir,0.054
2025-10-31,Juan Iglesias,0.054
2025-10-31,Denis Suárez,0.054
2025-10-31,Thiago Almada,0.053
2025-10-31,Daley Blind,0.052
2025-10-31,Kervin Arriaga,0.052
2025-10-31,Frenkie De Jong,0.051
2025-10-31,Ayoze Pérez,0.051
2025-10-31,Gorka Guruzeta,0.051
2025-10-31,Rubén Sánchez,0.051
2025-10-31,Borja Iglesias,0.05
2025-10-31,Rodrygo,0.049
2025-10-31,Diego Rico,0.049
2025-10-31,Gonçalo Guedes,0.048
2025-10-31,Pablo Durán,0.048
2025-10-31,Aarón Escandell,0.046
2025-10-31,Georges Mikautadze,0.046
2025-10-31,Natan Souza,0.046
2025-10-31,Santiago Colombatto,0.046
2025-10-31,Íñigo Lekue,0.046
2025-10-31,Jon Guridi,0.046
2025-10-31,Óscar Trejo,0.046
2025-10-31,Mathew Ryan,0.045
2025-10-31,Aymeric Laporte,0.044
2025-10-31,José Ángel Carmona,0.043
2025-10-31,Unai Vencedor,0.043
2025-10-31,Joel Roca,0.043
2025-10-31,Alemão,0.043
2025-10-31,Federico Viñas,0.043
2025-10-31,Lucas Torró,0.042
2025-10-31,Nemanja Gudelj,0.042
2025-10-31,Williot Swedberg,0.042
2025-10-31,Alex Baena,0.041
2025-10-31,Rubén Vargas,0.041
2025-10-31,Ilyas Chaira,0.041
2025-10-31,Thomas Lemar,0.041
2025-10-31,Mawuli Mensah,0.041
2025-10-31,Héctor Bellerín,0.04
2025-10-31,Raúl García de Haro,0.04
2025-10-31,Léo Pétrot,0.04
2025-10-31,Juanlu Sánchez,0.039
