id,nombre,posicion,foto_url,club
48554,L. Felipe,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48554.png?version=20250707130239,Rayo Vallecano
68447,L. Laso,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68447.png?version=20260109140126,Getafe CF
70314,L. Orejuela,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70314.png?version=20260514002535,RCD Mallorca
64373,L. Pétrot,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64373.png?version=20250711160040,Elche CF
49382,M. Alonso,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/49382.png?version=20231218004050,RC Celta de Vigo
63,M. Bartra,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63.png?version=20250205144032,Real Betis Balompié
70301,M. Calatayud,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70301.png?version=20260512143318,RCD Mallorca
13420,M. Diakhaby,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/13420.png?version=20251006020255,Valencia CF
65403,M. Fernández,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65403.png?version=20250823224007,RC Celta de Vigo
59532,M. Kumbulla,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59532.png?version=20240817221457,RCD Mallorca
561,M. Llorente,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/561.png?version=20260304114121,Atlético de Madrid
64372,M. Moreno,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64372.png?version=20250711133043,Levante UD
58987,M. Morey,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/58987.png?version=20251006031802,RCD Mallorca
35434,M. Pubill,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/35434.png?version=20250722235600,Atlético de Madrid
55663,M. Ristić,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/55663.png?version=20251003195308,RC Celta de Vigo
11877,M. Rubio,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/11877.png?version=20250611143806,RCD Espanyol
64121,M. Ruggeri,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/64121.png?version=20250702092107,Atlético de Madrid
70497,M. Serrano,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/70497.png?version=20260525073642,Real Madrid
20131,M. Sánchez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/20131.png?version=20251004223947,Levante UD
17979,M. Valjent,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/17979.png?version=20251006031709,RCD Mallorca
48620,Marcão,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48620.png?version=20251006014137,Sevilla FC
59372,N. Mendy,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59372.png?version=20240802120621,Rayo Vallecano
48950,N. Molina,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/48950.png?version=20251003194040,Atlético de Madrid
69281,N. Pérez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/69281.png?version=20260323141534,Levante UD
59499,N. Souza,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59499.png?version=20240815182347,Real Betis Balompié
36048,N. Tenaglia,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/36048.png?version=20251006024418,Deportivo Alavés
10214,N. Vidal,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/10214.png?version=20250622160822,Real Oviedo
29163,O. El Hilali,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/29163.png?version=20240626191545,RCD Espanyol
68248,Oso,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68248.png?version=20251208182035,Sevilla FC
239,P. Bigas,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/239.png?version=20250617224701,Elche CF
49329,P. Chavarría,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/49329.png?version=20251004230038,Rayo Vallecano
56926,P. Cubarsi,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/56926.png?version=20251007153408,FC Barcelona
22620,P. Espino,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/22620.png?version=20251004225748,Rayo Vallecano
8953,P. Maffeo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/8953.png?version=20251006031549,RCD Mallorca
60210,P. Navarro,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/60210.png?version=20240929093251,Villarreal CF
63928,R. Alhassane,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/63928.png?version=20260204135035,Real Oviedo
19977,R. Araújo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/19977.png?version=20251003184821,FC Barcelona
60290,R. Asencio,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/60290.png?version=20251003184102,Real Madrid
29243,R. Iranzo,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/29243.png?version=20260120091932,Valencia CF
15338,R. Le Normand,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/15338.png?version=20251228214158,Atlético de Madrid
54960,R. Marín,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/54960.png?version=20250703122507,Villarreal CF
59394,R. Rodríguez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/59394.png?version=20240805220410,Real Betis Balompié
69626,R. Saravia,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/69626.png?version=20260323141552,Valencia CF
33717,R. Sánchez,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/33717.png?version=20251004223322,RCD Espanyol
65347,R. Veiga,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/65347.png?version=20250822133320,Villarreal CF
68497,S. Boselli,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/68497.png?version=20260117124336,Getafe CF
53107,S. Cardona,Defensa,https://cdn-mister.mundodeportivo.com/file/cdn-common/players/53107.png?version=20251006021432,Villarreal CF
